left_symbol,right_symbol,correlation
BTCUSDT,ETHUSDT,0.19828533206148818
BTCUSDT,XRPUSDT,0.12365012078331025
BTCUSDT,SOLUSDT,0.19423154546264415
BTCUSDT,DOGEUSDT,0.14809281153739495
BTCUSDT,ADAUSDT,0.13933727821779768
BTCUSDT,AVAXUSDT,0.10415848155197775
ETHUSDT,XRPUSDT,0.12353965692877823
ETHUSDT,SOLUSDT,0.21633454782528794
ETHUSDT,DOGEUSDT,0.14725358982035308
ETHUSDT,ADAUSDT,0.14525555114002223
ETHUSDT,AVAXUSDT,0.11018463465102395
XRPUSDT,SOLUSDT,0.14434886390100693
XRPUSDT,DOGEUSDT,0.15052561851889487
XRPUSDT,ADAUSDT,0.12976803818157737
XRPUSDT,AVAXUSDT,0.10617417992267006
SOLUSDT,DOGEUSDT,0.15108617336766617
SOLUSDT,ADAUSDT,0.15702560700731524
SOLUSDT,AVAXUSDT,0.1080188356987318
DOGEUSDT,ADAUSDT,0.17174441495978351
DOGEUSDT,AVAXUSDT,0.11887104589417272
ADAUSDT,AVAXUSDT,0.12458901316149092
